submissionId,submissionDate,institution,major,degree,sem,notif_result,notif_method,notif_date,studentType,gpa,gre_v,gre_q,gre_w,gre_subject
1229,2006-02-08,Brown University,Computer Science,PhD,F06,Accepted,Phone,2006-02-07,O,NA,NA,NA,NA,NA
1230,2006-02-08,Brown University,Computer Science,NA,F06,Accepted,Phone,2006-02-07,O,NA,NA,NA,NA,NA
1380,2006-02-09,Brown University,American Studies (American Civ),NA,F06,Accepted,Phone,2006-02-02,O,NA,NA,NA,NA,NA
1381,2006-02-09,Brown University,American Studies (American Civ),NA,F06,Accepted,Phone,2006-02-02,O,NA,NA,NA,NA,NA
1482,2006-02-19,Brown University,Neuroscience,NA,F06,Rejected,E-mail,2006-02-03,O,NA,NA,NA,NA,NA
1592,2006-02-20,Brown University,English,PhD,F06,Accepted,Phone,2006-02-20,A,NA,NA,NA,NA,NA
1636,2006-02-20,Brown University,English Lit,PhD,F06,Accepted,Phone,2006-02-20,A,NA,NA,NA,NA,NA
1734,2006-02-21,Brown University,Classics,PhD,F06,Rejected,Postal Service,2006-02-21,A,NA,NA,NA,NA,NA
1797,2006-02-21,Brown University,Mathematics,PhD,F06,Accepted,E-mail,2006-02-22,I,NA,NA,NA,NA,NA
2098,2006-02-23,Brown University,Comparative Literature,PhD,F06,Rejected,Postal Service,2006-02-23,A,NA,NA,NA,NA,NA
2206,2006-02-23,Brown University,Art History,PhD,F06,Rejected,Postal Service,2006-02-23,I,NA,NA,NA,NA,NA
2238,2006-02-23,Brown University,Econ,PhD,F06,Accepted,E-mail,2006-02-24,A,NA,NA,NA,NA,NA
2275,2006-02-24,Brown University,Philosophy,PhD,F06,Accepted,E-mail,2006-02-24,A,NA,NA,NA,NA,NA
2276,2006-02-24,Brown University,Philosophy,PhD,F06,Rejected,E-mail,2006-02-24,A,NA,NA,NA,NA,NA
2331,2006-02-24,Brown University,English Literature,PhD,F06,Accepted,Phone,2006-02-20,A,NA,NA,NA,NA,NA
2348,2006-02-24,Brown University,Comparative Literature,PhD,F06,Rejected,Postal Service,2006-02-23,A,NA,NA,NA,NA,NA
2378,2006-02-24,Brown University,Philosophy,PhD,F06,Accepted,Postal Service,2006-02-24,A,NA,NA,NA,NA,NA
2419,2006-02-24,Brown University,Comparative Literature,PhD,F06,Rejected,Postal Service,2006-02-24,U,NA,NA,NA,NA,NA
2737,2006-02-27,Brown University,Computer Science,PhD,F06,Rejected,E-mail,2006-02-27,U,NA,NA,NA,NA,NA
2830,2006-02-27,Brown University,Computer Science,PhD,F06,Rejected,E-mail,2006-02-18,U,NA,NA,NA,NA,NA
2919,2006-02-27,Brown University,Comparative Literature,PhD,F06,Rejected,E-mail,2006-02-27,A,NA,NA,NA,NA,NA
3009,2006-02-28,Brown University,Public Policy,Masters,F06,Accepted,E-mail,2006-02-22,A,NA,NA,NA,NA,NA
3079,2006-02-28,Brown University,Economics,PhD,F06,Accepted,E-mail,2006-02-28,A,NA,NA,NA,NA,NA
