submissionId,submissionDate,institution,major,degree,sem,notif_result,notif_method,notif_date,studentType,gpa,gre_v,gre_q,gre_w,gre_subject
158877,2012-02-12,UCLA,Pure Mathematics,PhD,F12,Accepted,E-mail,2012-02-12,I,NA,NA,NA,NA,NA
158896,2012-02-12,UCLA,Pure Mathematics,PhD,F12,Accepted,E-mail,2012-02-12,I,NA,NA,NA,NA,NA
158897,2012-02-12,UCLA,Pure Mathematics,PhD,F12,Accepted,E-mail,2012-02-12,I,NA,NA,NA,NA,NA
158909,2012-02-12,UCLA,Mathematics,PhD,F12,Accepted,E-mail,2012-02-12,U,3.98,NA,NA,0,900
159018,2012-02-13,UCLA,Pure Mathematics,PhD,F12,Accepted,E-mail,2012-02-12,I,NA,NA,NA,NA,NA
159090,2012-02-13,UCLA,(ECE) Electrical And Computer Engineering,PhD,F12,Interview,E-mail,2012-02-13,I,NA,NA,NA,NA,NA
159749,2012-02-14,UCLA,Urban Planning,PhD,F12,Rejected,E-mail,2012-02-14,A,3.53,163,156,4,NA
160163,2012-02-15,UCLA,Department Of Political Science,PhD,F12,Accepted,E-mail,2012-02-15,A,3.65,170,166,5.5,NA
160324,2012-02-15,UCLA,Computer Science,PhD,F12,Rejected,E-mail,2012-02-15,I,NA,NA,NA,NA,NA
160332,2012-02-15,UCLA,Computer Science,PhD,F12,Rejected,E-mail,2012-02-15,I,NA,NA,NA,NA,NA
160334,2012-02-15,UCLA,Asian Languages & Cultures,PhD,F12,Rejected,E-mail,2012-02-15,A,NA,NA,NA,NA,NA
160338,2012-02-15,UCLA,Computer Science,PhD,F12,Rejected,E-mail,2012-02-15,O,NA,NA,NA,NA,NA
160342,2012-02-15,UCLA,English,PhD,F12,Rejected,Website,2012-02-15,O,NA,NA,NA,NA,NA
160349,2012-02-15,UCLA,English,PhD,F12,Rejected,Website,2012-02-15,A,NA,NA,NA,NA,NA
160355,2012-02-15,UCLA,Epidemiology,PhD,F12,Accepted,E-mail,2012-02-15,A,NA,NA,NA,NA,NA
160377,2012-02-15,UCLA,Computer Science,PhD,F12,Rejected,E-mail,2012-02-15,I,NA,NA,NA,NA,NA
160378,2012-02-15,UCLA,Computer Science,PhD,F12,Rejected,E-mail,2012-02-15,U,NA,NA,NA,NA,NA
160408,2012-02-15,UCLA,English,PhD,F12,Rejected,Website,2012-02-15,A,3.92,161,154,5.5,560
160485,2012-02-15,UCLA,English,PhD,F12,Rejected,E-mail,2012-02-15,A,NA,NA,NA,NA,NA
