submissionId,submissionDate,institution,major,degree,sem,notif_result,notif_method,notif_date,studentType,gpa,gre_v,gre_q,gre_w,gre_subject
64239,2009-12-31,University Of Pennsylvania,Master Of Social Work,Masters,F10,Accepted,E-mail,2009-12-18,A,NA,NA,NA,NA,NA
64739,2010-01-15,University Of Pennsylvania,Biology,PhD,F10,Interview,E-mail,2010-01-15,U,NA,NA,NA,NA,NA
65114,2010-01-22,University Of Pennsylvania,"Education, Culture And Society",PhD,F10,Interview,E-mail,2010-01-19,A,3.7,165,150,5,NA
66754,2010-02-02,University Of Pennsylvania,Sociology,PhD,F10,Accepted,E-mail,2010-02-02,I,3.84,168,166,3,NA
66948,2010-02-03,University Of Pennsylvania,Neuroscience,PhD,F10,Accepted,E-mail,2010-02-03,A,NA,NA,NA,NA,NA
66955,2010-02-03,University Of Pennsylvania,Neuroscience,PhD,F10,Accepted,E-mail,2010-02-03,A,4,163,160,5,NA
67382,2010-02-05,University Of Pennsylvania,Physics,PhD,F10,Accepted,Phone,2010-01-25,A,3.94,154,166,5,930
67564,2010-02-05,University Of Pennsylvania,Psychology,PhD,F10,Rejected,E-mail,2010-02-05,A,NA,NA,NA,NA,NA
67655,2010-02-06,University Of Pennsylvania,Psychology,PhD,F10,Rejected,Website,2010-02-06,A,NA,NA,NA,NA,NA
67686,2010-02-06,University Of Pennsylvania,Cognitive Psychology,PhD,F10,Rejected,Website,2010-02-06,I,NA,NA,NA,NA,NA
67739,2010-02-06,University Of Pennsylvania,Linguistics,PhD,F10,Interview,E-mail,2010-02-03,I,NA,NA,NA,NA,NA
67903,2010-02-07,University Of Pennsylvania,Sociology,PhD,F10,Accepted,E-mail,2010-02-02,I,NA,NA,NA,NA,NA
67953,2010-02-08,University Of Pennsylvania,Electrical Engineering,Masters,F10,Accepted,E-mail,2010-01-05,I,NA,NA,NA,NA,NA
67967,2010-02-08,University Of Pennsylvania,Telecommunications(TCOM),Masters,F10,Accepted,Other,2010-02-02,I,3.45,162,155,4,NA
67973,2010-02-08,University Of Pennsylvania,Psychology,PhD,F10,Rejected,Website,2010-02-06,I,NA,NA,NA,NA,NA
67993,2010-02-08,University Of Pennsylvania,Linguistics,PhD,F10,Interview,E-mail,2010-02-04,U,NA,NA,NA,NA,NA
68279,2010-02-08,University Of Pennsylvania,Linguistics,PhD,F10,Interview,E-mail,2010-02-03,A,NA,NA,NA,NA,NA
68990,2010-02-10,University Of Pennsylvania,Comparative Politics,PhD,F10,Accepted,Website,2010-02-10,A,NA,NA,NA,NA,NA
69089,2010-02-10,University Of Pennsylvania,Chemistry,PhD,F10,Accepted,E-mail,2010-02-10,I,NA,NA,NA,NA,NA
69138,2010-02-10,University Of Pennsylvania,Applied Math And Computational Science,PhD,F10,Accepted,E-mail,2010-02-10,I,NA,NA,NA,NA,NA
69158,2010-02-10,University Of Pennsylvania,Political Science,PhD,F10,Accepted,E-mail,2010-02-10,A,NA,NA,NA,NA,NA
69334,2010-02-10,University Of Pennsylvania,History And Sociology Of Science,PhD,F10,Interview,E-mail,2009-12-28,A,NA,NA,NA,NA,NA
69484,2010-02-11,University Of Pennsylvania,Physics,PhD,F10,Accepted,Phone,2010-01-23,A,NA,NA,NA,NA,NA
69776,2010-02-11,University Of Pennsylvania,Sociology,PhD,F10,Accepted,E-mail,2010-02-05,I,NA,NA,NA,NA,NA
70000,2010-02-12,University Of Pennsylvania,Social Work,Masters,F10,Accepted,Phone,2010-01-22,A,NA,NA,NA,NA,NA
70042,2010-02-12,University Of Pennsylvania,Chemistry,PhD,F10,Rejected,Other,2010-02-12,U,NA,NA,NA,NA,NA
70222,2010-02-12,University Of Pennsylvania,Philosophy,PhD,F10,Rejected,Other,2010-02-12,A,NA,NA,NA,NA,NA
70229,2010-02-12,University Of Pennsylvania,Philsophy,PhD,S10,Rejected,Website,2010-02-12,A,NA,NA,NA,NA,NA
70330,2010-02-12,University Of Pennsylvania,Philosophy,PhD,F10,Rejected,Website,2010-02-12,A,NA,NA,NA,NA,NA
70336,2010-02-12,University Of Pennsylvania,Philosophy,PhD,F10,Accepted,Website,2010-02-12,A,NA,NA,NA,NA,NA
70338,2010-02-12,University Of Pennsylvania,Philosophy,PhD,F10,Rejected,Website,2010-02-12,A,NA,NA,NA,NA,NA
70404,2010-02-12,University Of Pennsylvania,Philosophy,PhD,F10,Rejected,E-mail,2010-02-12,U,NA,NA,NA,NA,NA
70433,2010-02-12,University Of Pennsylvania,Philosophy,PhD,F10,Rejected,E-mail,2010-02-12,A,NA,NA,NA,NA,NA
70467,2010-02-13,University Of Pennsylvania,Biochemistry And Molecular Biophysics,PhD,F10,Accepted,E-mail,2010-02-13,A,3.77,164,158,4.5,NA
70487,2010-02-13,University Of Pennsylvania,Philosophy,PhD,F10,Rejected,Website,2010-02-13,O,NA,NA,NA,NA,NA
70703,2010-02-13,University Of Pennsylvania,Philosophy,PhD,F10,Rejected,Website,2010-02-12,I,NA,169,163,6,NA
70714,2010-02-13,University Of Pennsylvania,Philosophy,PhD,F10,Rejected,Website,2010-02-13,I,NA,NA,NA,NA,NA
70854,2010-02-14,University Of Pennsylvania,Philosophy,PhD,F10,Rejected,Website,2010-02-13,A,NA,NA,NA,NA,NA
71064,2010-02-15,University Of Pennsylvania,Philosophy,PhD,F10,Rejected,Website,2010-02-13,I,NA,NA,NA,NA,NA
71168,2010-02-15,University Of Pennsylvania,Physics,PhD,F10,Rejected,E-mail,2010-02-15,A,NA,NA,NA,NA,NA
71464,2010-02-16,University Of Pennsylvania,Sociology,PhD,F10,Rejected,Other,2010-02-15,A,NA,NA,NA,NA,NA
71469,2010-02-16,University Of Pennsylvania,Sociology,PhD,S10,Rejected,Website,2010-02-16,A,NA,NA,NA,NA,NA
71516,2010-02-16,University Of Pennsylvania,Sociology,PhD,F10,Rejected,Website,2010-02-16,A,NA,NA,NA,NA,NA
71557,2010-02-16,University Of Pennsylvania,Sociology,PhD,F10,Rejected,E-mail,2010-02-16,A,NA,NA,NA,NA,NA
71859,2010-02-16,University Of Pennsylvania,Political Science,PhD,F10,Accepted,E-mail,2010-02-16,A,NA,NA,NA,NA,NA
72062,2010-02-17,University Of Pennsylvania,Political Science,PhD,F10,Accepted,E-mail,2010-02-16,A,NA,NA,NA,NA,NA
72495,2010-02-17,University Of Pennsylvania,Computer Science,PhD,F10,Rejected,Website,2010-02-17,U,NA,NA,NA,NA,NA
72630,2010-02-18,University Of Pennsylvania,Political Science,PhD,F10,Rejected,Other,2010-02-18,U,NA,NA,NA,NA,NA
